time_ms,time_s,light_level,motion,led_state,mode
209353,209.353,1022,0,0,2
209605,209.605,1021,0,0,2
209857,209.857,1022,0,0,2
210109,210.109,1022,0,0,2
210361,210.361,1022,0,0,2
210613,210.613,1022,0,0,2
210865,210.865,1022,0,0,2
211117,211.117,1022,0,0,2
211368,211.368,1022,0,0,2
211620,211.62,1022,0,0,2
211872,211.872,1022,0,0,2
212124,212.124,1022,0,0,2
212376,212.376,1021,0,0,2
212628,212.628,1022,0,0,2
212880,212.88,1022,0,0,2
213132,213.132,1022,0,0,2
213384,213.384,1022,0,0,2
213636,213.636,1022,0,0,2
213888,213.888,1022,0,0,2
214139,214.139,1022,0,0,2
214391,214.391,1022,0,0,2
214643,214.643,1022,0,0,2
214895,214.895,1021,0,0,2
215147,215.147,1022,0,0,2
215399,215.399,1022,0,0,2
215651,215.651,1022,0,0,2
215903,215.903,1022,0,0,2
216155,216.155,1022,0,0,2
216407,216.407,1022,0,0,2
216658,216.658,1021,0,0,2
216910,216.91,1022,1,0,2
217162,217.162,1022,1,0,2
217414,217.414,1021,1,0,2
217666,217.666,1022,1,0,2
217918,217.918,1022,1,0,2
218170,218.17,1021,1,0,2
218422,218.422,1022,1,0,2
218674,218.674,1021,1,0,2
218926,218.926,1022,1,0,2
219177,219.177,1022,1,0,2
219429,219.429,1021,1,0,2
219681,219.681,1022,1,0,2
219933,219.933,1021,1,0,2
220185,220.185,1022,1,0,2
220437,220.437,1022,1,0,2
220689,220.689,1022,1,0,2
220941,220.941,1022,1,0,2
221193,221.193,1022,1,0,2
221445,221.445,1021,1,0,2
221697,221.697,1022,1,0,2
221948,221.948,1022,1,0,2
222200,222.2,1021,1,0,2
222452,222.452,1022,0,0,2
222704,222.704,1021,0,0,2
222956,222.956,1022,0,0,2
223208,223.208,1022,0,0,2
223460,223.46,1022,0,0,2
223712,223.712,1021,0,0,2
